Test ID,Module,Feature,Test Scenario,Pre-condition,Test Steps,Expected Result,Priority,Status,Notes
TC-001,Authentication,Sign Up,Successful business owner sign up,App is open on sign-up screen,"1. Enter valid full name
2. Enter valid email
3. Enter valid password
4. Accept Terms of Service
5. Tap Sign Up",Account created successfully and user is navigated to home screen,High,,
TC-002,Authentication,Sign Up,Sign up with already registered email,App is open on sign-up screen,"1. Enter email already in use
2. Fill remaining fields
3. Tap Sign Up",Error message shown: email already exists,High,,
TC-003,Authentication,Sign Up,Sign up with invalid email format,App is open on sign-up screen,"1. Enter invalid email (e.g. abc@)
2. Fill remaining fields
3. Tap Sign Up",Validation error shown for invalid email,Medium,,
TC-004,Authentication,Sign Up,Sign up with weak/short password,App is open on sign-up screen,"1. Enter password less than required length
2. Fill remaining fields
3. Tap Sign Up",Validation error shown for weak password,Medium,,
TC-005,Authentication,Sign In,Successful sign in with valid credentials,User is registered,"1. Enter valid email
2. Enter valid password
3. Tap Sign In",User is signed in and navigated to home tab,High,,
TC-006,Authentication,Sign In,Sign in with wrong password,User is registered,"1. Enter valid email
2. Enter incorrect password
3. Tap Sign In",Error message shown: invalid credentials,High,,
TC-007,Authentication,Sign In,Sign in with unregistered email,App is open on sign-in screen,"1. Enter email not in system
2. Enter any password
3. Tap Sign In",Error message shown: account not found,High,,
TC-008,Authentication,Sign Out,User can sign out successfully,User is signed in,"1. Go to Settings/Profile tab
2. Tap Sign Out",User is signed out and returned to guest home screen,High,,
TC-009,Authentication,Email Verification,Email verification link works,User signed up with valid email,"1. Open verification email
2. Click verification link",Email verified and user can sign in normally,Medium,,
TC-010,Authentication,Password Reset,Reset password via email,User is on forgot password screen,"1. Enter registered email
2. Tap Send Reset Link
3. Open email and click reset link
4. Enter new password",Password reset successfully and user can sign in with new password,Medium,,
TC-011,Authentication,Session,Session persists after app restart,User is signed in,"1. Close and reopen the app",User remains signed in without needing to re-enter credentials,High,,
TC-012,Authentication,Session,Session expiration redirects to home,User session has expired,"1. Leave app idle past session timeout
2. Attempt to use authenticated feature",User is redirected to home/sign-in screen with appropriate message,Medium,,
TC-013,Home/Search,Search,Search by category and zip code,User is on home screen,"1. Enter valid 5-digit zip code
2. Select a service category
3. Tap Search",Search results displayed showing matching service posts,High,,
TC-014,Home/Search,Search,Search with invalid zip code,User is on home screen,"1. Enter invalid zip code (e.g. 00000 or letters)
2. Select a category
3. Tap Search",Error message shown: invalid zip code,High,,
TC-015,Home/Search,Search,Search with no results,User is on home screen,"1. Enter zip code with no nearby providers
2. Select a rare category
3. Tap Search",No results message displayed,Medium,,
TC-016,Home/Search,Search,Search without selecting category,User is on home screen,"1. Enter valid zip code
2. Leave category blank
3. Tap Search",Validation message: please select a service category,High,,
TC-017,Home/Search,Search,Search without zip code,User is on home screen,"1. Select a category
2. Leave zip code blank
3. Tap Search",Validation message: zip code required,High,,
TC-018,Home/Search,Search,Zip code auto-fills city and state,User is on home screen,"1. Enter valid 5-digit zip code","City and state fields auto-populate based on zip code",Medium,,
TC-019,Home/Search,Recent Posts,Recent posts load on home screen,User is on home screen,"1. Open home screen","Recent service posts displayed in the recent posts section",High,,
TC-020,Home/Search,Recent Posts,Pull to refresh updates recent posts,User is on home screen,"1. Pull down on home screen to refresh","Recent posts list refreshes with latest data",Medium,,
TC-021,Home/Search,Category Filter,Tapping a category chip runs search,User has valid zip code entered,"1. Enter valid zip code
2. Tap a category chip in recent posts section","Search is triggered for selected category and results shown",Medium,,
TC-022,Home/Search,Category Filter,Tapping category without zip shows error,User is on home screen with no zip code,"1. Tap any category chip without entering zip code","Error shown: zip code required before selecting category",Medium,,
